funder,scheme_name,scheme_management,missing_value_count
Fini Water,Libobe water supply,VWC/Water authority,2
Qwiqwi,Dindimo Water Supply,VWC,2
Government Of Tanzania,Nyamitoko water s,VWC,2
Fosecu,Tanzania flowers pipe line,Other,1
Moshono Adp,Tanzania flowers pipe line,Other,1
Kkkt,Olchoronyokye water projec,VWC,2
Tcrs,Kashutakasimba,VWC,2
Government Of Tanzania,Kampogonyo water,VWC,2
Ministry Of Water,Mradi wa maji vijijini,Other,2
Dhv,Minepa w,-,1
Government Of Tanzania,Minepa w,-,1
,Ichonde,Water Board,2
,Mvum,VWC,2
,Kibugu,VWC,2
,Iyani gravity water supply,VWC,2
,TASSAF,VWC,2
,Iragua w,VWC,2
,Mnyawi water supply,VWC,2
,Kijiji,VWC,2
,Nyakaiga water su,VWC,2
