scheme_name,scheme_management,missing_value_count
Migoli,VWC,14
Kazilankanda Water Supply,VWC,1
Huru mawela water project,Water Board,1
World Bank Water Supply,Trust,1
Kimokouwa water project,VWC,1
Makwale water supplied sche,VWC,1
Njomlole water gravity scheme,VWC,1
Nyangoto water suplly,VWC,1
Utaruni pipeline,VWC,1
Namaukula water supply,VWC,1
Madimba water supply,Other,1
Elang'atadapash water proj,VWC,1
Mavimba,-,1
ENDANANG'WENI SPRING,-,1
Nyamatoke piped scheme,WUA,1
Masanwa Piped water Scheme,VWC,1
Ruhatwe water supply,WUG,1
Kilimahewa water supply,VWC,1
Mwaya Mn,WUA,1
Mshewa Water Supply,VWC,1
Shaba water supply,VWC,1
Hgodin,Other,1
MVUM,VWC,1
Nasula gravity water supply,-,1
Kirua kahe gravity water supply trust,Water Board,1
Nguruma gravity water supply,VWC,1
Kinyinya gravity water supply,VWC,1
Mangola pipe scheme,-,1
Maswa water supply program,Water authority,1
Namanga water project,VWC/Parastatal,1
Ziwani water supply,VWC,1
Saseni,Water authority,1
Lang'ata dapash water proj,VWC,1
NCHULOWAIBALE WATER SUPPLY SCHEME,VWC,1
Ihowanja,VWC,1
Muhalala water supply,VWC/Water Authority,1
Malinyi,VWC,1
Bukirilo gravity water supply,VWC,1
Mwigumbi piped scheme,WUA,1
Mtama water supply,VWC,1
Kyamakata Pumping water supply,VWC,1
Churazo gravity water supply,VWC,1
Machumba estate pipe line,VWC,1
Rural water supply,VWC,1
Mshiri pipeline,Other,1
Mwadui piped scheme,WUA/Parastatal,1
Ilindi,VWC,1
Nduruma pipe line,VWC/Parastatal,1
Sukuro pipe scheme,Other,1
Nyabibuye,VWC,1
Mbwinji,VWC,1
Mnyuzi water supplly,VWC,1
DANIDA,VWC,1
Mwigimbi piped scheme,WUA,1
Nyachenda water scheme,Water authority,1
Kaisho/Isingiro w,VWC/Other,1
Kabare gravity water supply mission,VWC,1
Tank refu Mtakuja,Water authority,1
Hesawa,-,1
Kamwanga Erikaswa water pr,VWC,1
Mradi wa maji Kisumwa,VWC,1
Shongololo gravity water supply,VWC/WUA,1
QWICKWIN,WUG/Other,1
Mradi wa maji wa maji sikonge,Other,1
Dasp,-,1
Nabaiye pipe line,VWC,1
Adra,VWC,1
MWS,VWC,1
Mitema,VWC,1
Msaginya,VWC,1
Ikela Wa,Company,1
Sikonge water supply,Water Board,1
Lituli,VWC,1
Nzul,VWC,1
Nyangao Water Supply,WUA/VWC/Parastatal,1
Gwata water supply,VWC,1
Vumamti,VWC,1
ENDAMASAK,VWC/Parastatal,1
Vyama vya watumia maji,VWC,1
Ilala water supply,VWC/WUA,1
Msitu wa tembo pipe scheme,-,1
Dihimba water supply,VWC,1
Manyoni water supply,VWC/Other,1
Tangini,VWC,1
Jumuhiya ya watumia maji,VWC,1
Libobe water supply,VWC/Water authority,2
Dindimo Water Supply,VWC,2
Nyamitoko water s,VWC,2
Tanzania flowers pipe line,Other,2
Olchoronyokye water projec,VWC,2
Kashutakasimba,VWC,2
Kampogonyo water,VWC,2
Mradi wa maji vijijini,Other,2
Minepa w,WUA,2
Ichonde,Water Board,2
Mvum,VWC,2
Kibugu,VWC,2
Iyani gravity water supply,VWC,2
TASSAF,VWC,2
Iragua w,VWC,2
Mnyawi water supply,VWC,2
Kijiji,VWC,2
Nyakaiga water su,VWC,2
